Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
210,1,0,0,0.001706856138565961,0.0017725860371309169,6.565276314230526e-05,0.0009520189100954713,0.005087969182920055,0.001083244796560592,2
210,0,1,0,0.005219275710963402,0.002166495603673598,0.002461850643157959,0.0011056140691292386,0.0004267351967947824,0.0009847598917344037,4
210,0,0,1,0.005842899074073599,0.001838285882933801,0.0046940736409996735,0.0009191161444207199,0.0028061631346951014,0.0006893342282591748,5
220,1,0,0,0.0021338173996509435,0.002271388595849932,0.00010331086650293829,0.0010324243932043403,0.004088498947378822,0.0010589277166627052,2
220,0,1,0,0.004135028906330663,0.0015648755733137089,0.0016048201380322157,0.0008695314634213888,0.0003162307361149053,0.0008067029163175743,4
220,0,0,1,0.005300389512520005,0.0014945578470104066,0.005097678579422871,0.0008259875133699257,0.002768886772021323,0.0008603218893647719,3
230,1,0,0,0.0020882281290221325,0.0017281100497267762,3.6018235342843195e-05,0.0008280293732744208,0.004788313593183245,0.0009720633106846963,2
230,0,1,0,0.00439228769820956,0.0017747044013941891,0.0021961361581828735,0.0009000537582256827,0.0003240427113897789,0.0008640327761250157,4
230,0,0,1,0.005616368785981209,0.0019081199224094093,0.0042482652971821445,0.0008280628837198706,0.0029708196490591024,0.0007200548725743447,5
240,1,0,0,0.002591554935161884,0.0018780896296867956,3.746896982192993e-05,0.0009015724062919617,0.005408620031980367,0.0010515972971916199,2
240,0,1,0,0.004056574633488288,0.0016901951569777268,0.002028253789131458,0.0009765567687841562,0.0003379606283628024,0.0012771292374684261,4
240,0,0,1,0.007436808485251207,0.002366400108887599,0.006738865031645848,0.0025165373316177954,0.006911139648694258,0.0011267043077028715,5
250,1,0,0,0.0035156279802322386,0.003455154299736023,7.8125e-05,0.0015625083446502686,0.007499995231628418,0.0016406267881393433,2
250,0,1,0,0.0069140571355819705,0.0032498490810394286,0.003711026906967163,0.001132814884185791,0.0006249183416366577,0.001601550579071045,4
250,0,0,1,0.008710981607437133,0.0028617340326309204,0.006406332850456237,0.001210947036743164,0.004843655824661255,0.0010156995058059693,5
260,1,0,0,0.0034585886945327124,0.0028890843192736306,4.0603180726369224e-05,0.0012614739437898,0.007934501394629478,0.0014242200801769893,2
260,0,1,0,0.006266197810570399,0.0028483979403972626,0.003295816481113434,0.0012613882621129353,0.000610365221897761,0.0015056064973274867,4
260,0,0,1,0.008829666922489801,0.0032145846635103226,0.007000063235561053,0.0011800142625967662,0.005126960575580597,0.0012206081300973892,3
270,1,0,0,0.003927440256685824,0.0028715520291715054,8.44878119391364e-05,0.0015202328965470597,0.010947209435540277,0.0019002740447585647,2
270,0,1,0,0.009712815284729004,0.003852602597829458,0.004687596011806179,0.001773570679329537,0.0008446867401535447,0.0018158674240112305,4
270,0,0,1,0.012119932432432432,0.0033783854664982977,0.008825935544194401,0.0015202509390341268,0.005870031021736764,0.0016469555932122307,3
280,1,0,0,0.005470848217063925,0.003764085075100597,8.753568184475939e-05,0.0014880959059343953,0.010460450869648396,0.0018819934513722482,2
280,0,1,0,0.00827195597629921,0.0032389050438290552,0.004026593280439617,0.0013567139120662913,0.0006566127809155889,0.0016193029259433266,4
280,0,0,1,0.011860898896759632,0.003501383864245161,0.008709844087018352,0.0013566831914650626,0.005864843267018721,0.0013568114165832348,3
290,1,0,0,0.004542131756627282,0.00377008457516515,9.085549864658089e-05,0.0013626432696054148,0.009992736023525859,0.001816861158193544,2
290,0,1,0,0.010901065066803333,0.004086465336555658,0.004405905340993127,0.002043879309365916,0.0008175657239071158,0.0019532338131305785,4
290,0,0,1,0.013808078544084416,0.004769244859384936,0.009583914695784103,0.0014534745105477267,0.006313702394795972,0.0018622708875079487,3
300,1,0,0,0.005489758901051931,0.0040352953088892115,4.695700453566359e-05,0.0017360817562710414,0.0106981903225094,0.0017723235282096062,2
300,0,1,0,0.008774498203495244,0.003659809673870648,0.004739200746690905,0.0014545981948440138,0.0005629742825711454,0.0015015931458802552,4
300,0,0,1,0.012387282855517871,0.00478606968670636,0.00905600396004525,0.0014076469180820225,0.0068505891450532565,0.001501421312670092,3
310,1,0,0,0.005386348836910651,0.004173026321837621,4.863887099745851e-05,0.001358696392604283,0.011063666077134032,0.0016982703475478273,2
310,0,1,0,0.009656444099378882,0.005095092406184037,0.007569988321813738,0.002280680289179642,0.0007762894126939477,0.001795413331215426,4
310,0,0,1,0.017498763451665084,0.005871397367915752,0.013926734095034391,0.001795395560886549,0.0075932326524154,0.001504269445905034,5
320,1,0,0,0.007462056783529429,0.005709128502087715,0.00010004868874183067,0.00175283276117765,0.013371474467791043,0.0019530004415756618,2
320,0,1,0,0.012250383694966635,0.004557206844672179,0.006510519828551855,0.001852957866130731,0.0006008507349552253,0.0022036509636120917,4
320,0,0,1,0.014796107243268918,0.005158367829445081,0.010216222359583927,0.0018029029552753156,0.00796284889563536,0.001802850992251665,5
330,1,0,0,0.005724049243989951,0.005053619346996345,0.00015470139657703562,0.0017531893827734213,0.011912231791530899,0.001804757039539098,2
330,0,1,0,0.014232648087806828,0.005105249952561785,0.006291326516532268,0.0024752782122923595,0.0011343971730852285,0.002011201562661149,4
330,0,0,1,0.01732671064118741,0.005208232615253713,0.012943610893224333,0.002165711752258905,0.008766491420985055,0.0018048679867986798,5
340,1,0,0,0.006271262558139101,0.005527319551325169,5.314869134604525e-05,0.0017005667394521286,0.013603509688863948,0.002072846808401095,2
340,0,1,0,0.012542479703215514,0.005102058657172586,0.006430570771094082,0.0017538313962975327,0.0010099240711757115,0.0019663888580945072,4
340,0,0,1,0.0170066972979072,0.006005625335537657,0.012648693558310165,0.001913268549912641,0.008769255106140968,0.0020195383603881004,3
350,1,0,0,0.006469314976742393,0.004824452651174445,0.00010975034613358348,0.0018092197284363864,0.017543786032158032,0.002521881304289165,2
350,0,1,0,0.01622818478366785,0.006969700361552991,0.008662294923213491,0.002357548161556846,0.001315667336447197,0.002521966633043791,4
350,0,0,1,0.020230241407427872,0.008552759572079308,0.014418845427663703,0.0021380290650484853,0.009813600674010159,0.0023574778908177427,3
360,1,0,0,0.008630444426829203,0.007050948022505006,5.640363865380683e-05,0.0022000379941093363,0.01534297061741137,0.0021998873686532253,2
360,0,1,0,0.013177445649239991,0.005922695359598429,0.006543378967670758,0.0019179345898679878,0.0006769133819139391,0.0021433881904243993,4
360,0,0,1,0.01810693138342902,0.0064869710254324905,0.014271159464701848,0.002820428097721472,0.012635377339938057,0.002425524301907646,5
370,1,0,0,0.008107642774228697,0.00798607314074481,5.7899510418927226e-05,0.0021990572964703595,0.017419097158643933,0.002025325210006149,2
370,0,1,0,0.015509255727132161,0.007581045009471752,0.007560652273672599,0.00277764532301161,0.000636575840137623,0.0023148236451325595,4
370,0,0,1,0.019238960301434554,0.006712964729026512,0.014757004490605108,0.0017362064785427518,0.010705893128006547,0.001967678246674714,3
380,1,0,0,0.008376938308599783,0.007010354741897873,5.941699212948179e-05,0.0021387170929419224,0.01675384216888776,0.0020793390817968565,2
380,0,1,0,0.014733843930320595,0.006594714103089539,0.007842056651532424,0.0020793762497122296,0.0010099809885931559,0.0022576344783768456,4
380,0,0,1,0.026165749183625776,0.008436426010421928,0.02067480250456487,0.002495227204529505,0.014377496088412324,0.0018858329424839963,5
390,1,0,0,0.010192729532718658,0.007873661816120148,6.090756505727768e-05,0.001892094500362873,0.01928724627941847,0.00244126096367836,2
390,0,1,0,0.01837174315005541,0.008046573027968407,0.00830076914280653,0.0022583305835723877,0.0007932828739285469,0.002197285182774067,4
